utterance,intent,entity_type,entity_value,start_offset,end_offset,category,tags
I don't know what to do to cancel purchase 00004587345,cancel_order,order_id,00004587345,43,54,ORDER,BL
cancelling purchase 113542617735902,cancel_order,order_id,113542617735902,20,35,ORDER,BKL
could you help me cancel purchase 00004587345?,cancel_order,order_id,00004587345,34,45,ORDER,BILP
problems with cancelling order 00004587345,cancel_order,order_id,00004587345,31,42,ORDER,BM
what do I need to do to cancel purchase 113542617735902?,cancel_order,order_id,113542617735902,40,55,ORDER,BIL
what do I have to do to cancel purchase 00004587345?,cancel_order,order_id,00004587345,40,51,ORDER,BIL
I'mtrying to cancel purchase 00004587345,cancel_order,order_id,00004587345,29,40,ORDER,BLQZ
need assistance cancelling purchase 00123842,cancel_order,order_id,00123842,36,44,ORDER,BLQ
I can no longer afford order 113542617735902,cancel_order,order_id,113542617735902,29,44,ORDER,BLN
assistance to cancel purchase 370795561790,cancel_order,order_id,370795561790,30,42,ORDER,BL
have a question about cancelling order 00004587345,cancel_order,order_id,00004587345,39,50,ORDER,BQ
can ya help me canceling purchase 370795561790,cancel_order,order_id,370795561790,34,46,ORDER,BILQ
want help cancelling purchase 732201349959,cancel_order,order_id,732201349959,30,42,ORDER,BLQ
question about canceling purchase 370795561790,cancel_order,order_id,370795561790,34,46,ORDER,BL
i cant pay for htis item help me cancel purchase 00123842,cancel_order,order_id,00123842,49,57,ORDER,BCLNQZ
i can no longer pay for order 00123842 ohw could i cancel it,cancel_order,order_id,00123842,30,38,ORDER,BCILNPQZ
i have a problem with canceling order 370795561790,cancel_order,order_id,370795561790,38,50,ORDER,BQ
I want assistance to cancel purchase 113542617735902,cancel_order,order_id,113542617735902,37,52,ORDER,BL
I do not know how to cancel purchase 370795561790,cancel_order,order_id,370795561790,37,49,ORDER,BEL
need assistance to cancel order 732201349959,cancel_order,order_id,732201349959,32,44,ORDER,BQ
I want help cacnelling purchase 113542617735902,cancel_order,order_id,113542617735902,32,47,ORDER,BLZ
how do i cancel order 00004587345,cancel_order,order_id,00004587345,22,33,ORDER,BIQ
need assistance to cancel purchase 00123842,cancel_order,order_id,00123842,35,43,ORDER,BLQ
i want assistance canceling order 370795561790,cancel_order,order_id,370795561790,34,46,ORDER,BQ
"I have ordered some products, cancel purchase 732201349959",cancel_order,order_id,732201349959,46,58,ORDER,BCELM
i have a question about canceling order 00004587345,cancel_order,order_id,00004587345,40,51,ORDER,BQ
"I do not want this item, help to cancel order 732201349959",cancel_order,order_id,732201349959,46,58,ORDER,BCELN
cancel purhase 370795561790,cancel_order,order_id,370795561790,15,27,ORDER,BLZ
cancel order 370795561790,cancel_order,order_id,370795561790,13,25,ORDER,BK
want assistance cancelling purchase 113542617735902,cancel_order,order_id,113542617735902,36,51,ORDER,BLQ
want assistance canceling purchase 00123842,cancel_order,order_id,00123842,35,43,ORDER,BLQ
I have problems with cancelling purchase 370795561790,cancel_order,order_id,370795561790,41,53,ORDER,BLM
can you help me cancel purchase 00004587345?,cancel_order,order_id,00004587345,32,43,ORDER,BIL
I need help canceling purchase 00004587345,cancel_order,order_id,00004587345,31,42,ORDER,BL
i bought some item where to cancel oredr 113542617735902,cancel_order,order_id,113542617735902,41,56,ORDER,BCILQZ
i do not know how i could cancel order 00123842,cancel_order,order_id,00123842,39,47,ORDER,BEPQ
I need help ot cancel purchase 732201349959,cancel_order,order_id,732201349959,31,43,ORDER,BLZ
help me to cancel purchase 113542617735902,cancel_order,order_id,113542617735902,27,42,ORDER,BL
order cancelation,cancel_order,,,,,ORDER,BK
cancel purchase 00123842,cancel_order,order_id,00123842,16,24,ORDER,BKL
can you help me canceling purchase 00123842?,cancel_order,order_id,00123842,35,43,ORDER,BIL
assistance with canceling purchase 113542617735902,cancel_order,order_id,113542617735902,35,50,ORDER,BL
"I can no longer afford order 00004587345, could I cancel it?",cancel_order,order_id,00004587345,29,40,ORDER,BCILNP
I don't know how to cancel purchase 370795561790,cancel_order,order_id,370795561790,36,48,ORDER,BL
I can't pay for purchase 732201349959,cancel_order,order_id,732201349959,25,37,ORDER,BLN
quedstion about cancelling purchase 370795561790,cancel_order,order_id,370795561790,36,48,ORDER,BLZ
canceling order,cancel_order,,,,,ORDER,BK
i have problems with canceling order 00123842,cancel_order,order_id,00123842,37,45,ORDER,BMQ
I need help to cancel purchase 113542617735902,cancel_order,order_id,113542617735902,31,46,ORDER,BL
i need help to cancel order 00004587345,cancel_order,order_id,00004587345,28,39,ORDER,BQ
I don't know how I could cancel purchase 370795561790,cancel_order,order_id,370795561790,41,53,ORDER,BLP
where can i cancfel order 00004587345,cancel_order,order_id,00004587345,26,37,ORDER,BIQZ
where can i cancfel order 113542617735902,cancel_order,order_id,113542617735902,26,41,ORDER,BIQZ
can uhelp me cancelling purchase 113542617735902,cancel_order,order_id,113542617735902,33,48,ORDER,BILQ
cancelling order732201349959,cancel_order,order_id,732201349959,16,28,ORDER,BKZ
I can no longer pay for purchase 113542617735902,cancel_order,order_id,113542617735902,33,48,ORDER,BLN
cancelling purchase 370795561790,cancel_order,order_id,370795561790,20,32,ORDER,BKL
i have a problem with cancelling purchase  00004587345,cancel_order,order_id,00004587345,43,54,ORDER,BLQZ
could uhlep me to cancel purchase 732201349959,cancel_order,order_id,732201349959,34,46,ORDER,BILPQZ
want help canceling purchase 370795561790,cancel_order,order_id,370795561790,29,41,ORDER,BLQ
canceling order 370795561790,cancel_order,order_id,370795561790,16,28,ORDER,BK
is it possible to cancel order 370795561790?,cancel_order,order_id,370795561790,31,43,ORDER,BI
assistance with canceling order 00004587345,cancel_order,order_id,00004587345,32,43,ORDER,B
I want help cancelling purchase 732201349959,cancel_order,order_id,732201349959,32,44,ORDER,BL
i do not know how i could cancel order 00004587345,cancel_order,order_id,00004587345,39,50,ORDER,BEPQ
what do I need to do to cancel purchase 370795561790?,cancel_order,order_id,370795561790,40,52,ORDER,BIL
i dont want the last damn purchase i made can i cancel it,cancel_order,,,,,ORDER,BCILNQW
hw can i cancel purchase 113542617735902,cancel_order,order_id,113542617735902,25,40,ORDER,BILQZ
"I cannot afford this item, cancel order 113542617735902",cancel_order,order_id,113542617735902,40,55,ORDER,BCELN
"I have bought some articles, cancel order 370795561790",cancel_order,order_id,370795561790,42,54,ORDER,BCELM
have a problem with cancelling purchase 732201349959,cancel_order,order_id,732201349959,40,52,ORDER,BLQ
help me to cancel purchase 370795561790,cancel_order,order_id,370795561790,27,39,ORDER,BL
help me cancelling purchase 370795561790,cancel_order,order_id,370795561790,28,40,ORDER,BL
canceling order 00004587345,cancel_order,order_id,00004587345,16,27,ORDER,BK
canceling purchase 00123842,cancel_order,order_id,00123842,19,27,ORDER,BKL
how could I cancel purchase 00004587345?,cancel_order,order_id,00004587345,28,39,ORDER,BILP
I do not know how to cancel purchase 732201349959,cancel_order,order_id,732201349959,37,49,ORDER,BEL
assistance with cancelling order 370795561790,cancel_order,order_id,370795561790,33,45,ORDER,B
help me canceling order 00004587345,cancel_order,order_id,00004587345,24,35,ORDER,B
assistance canceling purchase 370795561790,cancel_order,order_id,370795561790,30,42,ORDER,BL
assistance cancelling purchase 370795561790,cancel_order,order_id,370795561790,31,43,ORDER,BL
cancel purchase 113542617735902,cancel_order,order_id,113542617735902,16,31,ORDER,BL
awnt assistance canceling order 00004587345,cancel_order,order_id,00004587345,32,43,ORDER,BQZ
assistance with cancelling purchase 732201349959,cancel_order,order_id,732201349959,36,48,ORDER,BL
problems with cancelling order 370795561790,cancel_order,order_id,370795561790,31,43,ORDER,BM
I do not know how I can cancel order 00123842,cancel_order,order_id,00123842,37,45,ORDER,BE
cancelling order 00004587345,cancel_order,order_id,00004587345,17,28,ORDER,BK
I do not know how I can cancel purchase 732201349959,cancel_order,order_id,732201349959,40,52,ORDER,BEL
want help casnceling purchase 00123842,cancel_order,order_id,00123842,30,38,ORDER,BLQZ
i dont know what to do to cancel order 00004587345,cancel_order,order_id,00004587345,39,50,ORDER,BQ
need assistance to cancel order 00004587345,cancel_order,order_id,00004587345,32,43,ORDER,BQ
cancelling order 113542617735902,cancel_order,order_id,113542617735902,17,32,ORDER,BK
i have got to cancel purchase 113542617735902,cancel_order,order_id,113542617735902,30,45,ORDER,BLQ
problems with canceling purchase 370795561790,cancel_order,order_id,370795561790,33,45,ORDER,BLM
need assistance with cancelling purchase 113542617735902,cancel_order,order_id,113542617735902,41,56,ORDER,BLQ
i no longer want order 00123842 could uhelp me cancel it,cancel_order,order_id,00123842,23,31,ORDER,BCILNPQ
i need help canceling purchase 732201349959,cancel_order,order_id,732201349959,31,43,ORDER,BLQ
I need help with canceling purchase 00004587345,cancel_order,order_id,00004587345,36,47,ORDER,BL
I don't know how to cancel purchase 732201349959,cancel_order,order_id,732201349959,36,48,ORDER,BL
i have a question about canceling order 00123842,cancel_order,order_id,00123842,40,48,ORDER,BQ
problems with cancelling purchase 732201349959,cancel_order,order_id,732201349959,34,46,ORDER,BLM
can you help me cancel purchase 00123842?,cancel_order,order_id,00123842,32,40,ORDER,BIL
I want help canceling puurchase 00004587345,cancel_order,order_id,00004587345,32,43,ORDER,BLZ
cancel purhase 732201349959,cancel_order,order_id,732201349959,15,27,ORDER,BLZ
have a problem with canceling order 732201349959,cancel_order,order_id,732201349959,36,48,ORDER,BQ
cancel purhase 00123842,cancel_order,order_id,00123842,15,23,ORDER,BLZ
need assistance canceling order 113542617735902,cancel_order,order_id,113542617735902,32,47,ORDER,BQ
cancelling purchase 732201349959,cancel_order,order_id,732201349959,20,32,ORDER,BKL
I need help with canceling purchase 370795561790,cancel_order,order_id,370795561790,36,48,ORDER,BL
i need help with canceling purchase 113542617735902,cancel_order,order_id,113542617735902,36,51,ORDER,BLQ
I want help to cancel purchase 113542617735902,cancel_order,order_id,113542617735902,31,46,ORDER,BL
problems with canceling purchase 00004587345,cancel_order,order_id,00004587345,33,44,ORDER,BLM
i do not want thisgoddamn item i wanna cancel order 00123842,cancel_order,order_id,00123842,52,60,ORDER,BCELNQWZ
"I purchased something, cancel order 00004587345",cancel_order,order_id,00004587345,36,47,ORDER,BCL
I need to cancel purchase 113542617735902,cancel_order,order_id,113542617735902,26,41,ORDER,BL
I don't know how to cancel purchase 113542617735902,cancel_order,order_id,113542617735902,36,51,ORDER,BL
how could I cancel purchase 732201349959?,cancel_order,order_id,732201349959,28,40,ORDER,BILP
i need help with cacneling purchase 370795561790,cancel_order,order_id,370795561790,36,48,ORDER,BLQZ
help me canceling purchase 732201349959,cancel_order,order_id,732201349959,27,39,ORDER,BL
"I have purchased something, help me cancel the second order",cancel_order,,,,,ORDER,BCEL
cancelling order 00123842,cancel_order,order_id,00123842,17,25,ORDER,BK
i do not know how to cancel purchase 00123842,cancel_order,order_id,00123842,37,45,ORDER,BELQ
cancelling order,cancel_order,,,,,ORDER,BK
can you help me canceling purchase 00004587345 ?,cancel_order,order_id,00004587345,35,46,ORDER,BILZ
canceling purchase 00004587345,cancel_order,order_id,00004587345,19,30,ORDER,BKL
assistance to cancel order 00123842,cancel_order,order_id,00123842,27,35,ORDER,B
i dont want my last purchase cancel order 732201349959,cancel_order,order_id,732201349959,42,54,ORDER,BCNQ
quesdtion about canceling purchase 370795561790,cancel_order,order_id,370795561790,35,47,ORDER,BLZ
need assistance with cancelling order 00123842,cancel_order,order_id,00123842,38,46,ORDER,BQ
i ordered some product cancel purchase 370795561790,cancel_order,order_id,370795561790,39,51,ORDER,BCLQ
I don'twant order 00123842,cancel_order,order_id,00123842,18,26,ORDER,BNZ
problem with cancelling purchase 732201349959,cancel_order,order_id,732201349959,33,45,ORDER,BL
i have a question about canceling order 732201349959,cancel_order,order_id,732201349959,40,52,ORDER,BQ
i dont know how i can cancel purchase 113542617735902,cancel_order,order_id,113542617735902,38,53,ORDER,BLQ
i do not know how to cancel order 370795561790,cancel_order,order_id,370795561790,34,46,ORDER,BEQ
I do not want purchase 732201349959,cancel_order,order_id,732201349959,23,35,ORDER,BELN
cancel order 00004587345,cancel_order,order_id,00004587345,13,24,ORDER,BK
i want assistance canceloing purchase 370795561790,cancel_order,order_id,370795561790,38,50,ORDER,BLQZ
I want help to cancel purchase 732201349959,cancel_order,order_id,732201349959,31,43,ORDER,BL
want assistance to cancel order 370795561790,cancel_order,order_id,370795561790,32,44,ORDER,BQ
can you help me cancelling order 732201349959?,cancel_order,order_id,732201349959,33,45,ORDER,BI
cancel order 00123842,cancel_order,order_id,00123842,13,21,ORDER,BK
I need assistance cancelling purchase 113542617735902,cancel_order,order_id,113542617735902,38,53,ORDER,BL
need help to cancelp order 732201349959,cancel_order,order_id,732201349959,27,39,ORDER,BQZ
cancel order 732201349959,cancel_order,order_id,732201349959,13,25,ORDER,BK
I have got to cancel purchase 113542617735902,cancel_order,order_id,113542617735902,30,45,ORDER,BL
i need help tocancel order 00004587345,cancel_order,order_id,00004587345,27,38,ORDER,BQZ
assistance cancelling purchase 732201349959,cancel_order,order_id,732201349959,31,43,ORDER,BL
help me canceling purchase 113542617735902,cancel_order,order_id,113542617735902,27,42,ORDER,BL
where do I cancel purchase 00004587345?,cancel_order,order_id,00004587345,27,38,ORDER,BIL
I want assistance to cancel order 113542617735902,cancel_order,order_id,113542617735902,34,49,ORDER,B
order cancellation,cancel_order,,,,,ORDER,BK
i try to cancel purchase 00123842,cancel_order,order_id,00123842,25,33,ORDER,BLQ
help me to cancel order 113542617735902,cancel_order,order_id,113542617735902,24,39,ORDER,B
need assistance canceling order 370795561790,cancel_order,order_id,370795561790,32,44,ORDER,BQ
I want assistance to cancel purchase 370795561790,cancel_order,order_id,370795561790,37,49,ORDER,BL
canceling order 00123842,cancel_order,order_id,00123842,16,24,ORDER,BK
help me canceling purchase 00123842,cancel_order,order_id,00123842,27,35,ORDER,BL
need to cancel order 370795561790,cancel_order,order_id,370795561790,21,33,ORDER,BQ
where can i cancel purchase 00004587345,cancel_order,order_id,00004587345,28,39,ORDER,BILQ
I have to cancel order 00004587345,cancel_order,order_id,00004587345,23,34,ORDER,B
i need assistance to cancel purchase 732201349959,cancel_order,order_id,732201349959,37,49,ORDER,BLQ
I need help canceling purchase 732201349959,cancel_order,order_id,732201349959,31,43,ORDER,BL
"I cannot afford this item, can I cancel order 00004587345?",cancel_order,order_id,00004587345,46,57,ORDER,BCEILN
cancel order 113542617735902,cancel_order,order_id,113542617735902,13,28,ORDER,BK
acnceling order 00123842,cancel_order,order_id,00123842,16,24,ORDER,BKZ
cancel order  732201349959,cancel_order,order_id,732201349959,14,26,ORDER,BZ
i dont know how to cancel order 00123842,cancel_order,order_id,00123842,32,40,ORDER,BQ
i need help to cancel order 370795561790,cancel_order,order_id,370795561790,28,40,ORDER,BQ
need assistance cancelling purchase 370795561790,cancel_order,order_id,370795561790,36,48,ORDER,BLQ
where can I cancel purchase 370795561790?,cancel_order,order_id,370795561790,28,40,ORDER,BIL
I need help cancelingpurchase 113542617735902,cancel_order,order_id,113542617735902,30,45,ORDER,BLZ
need help to delete several items from order 370795561790,change_order,order_id,370795561790,45,57,ORDER,BLMQ
can  i swap some items of order 732201349959,change_order,order_id,732201349959,32,44,ORDER,BILMQZ
I want help to update purchase 00004587345,change_order,order_id,00004587345,31,42,ORDER,BL
change order 00123842,change_order,order_id,00123842,13,21,ORDER,BK
"I would like to modify order 113542617735902, I need help",change_order,order_id,113542617735902,29,44,ORDER,BCLP
can i edit order 732201349959,change_order,order_id,732201349959,17,29,ORDER,BILQ
I can't switch several products of order 00123842,change_order,order_id,00123842,41,49,ORDER,BLMN
"I need to swap something of purchase 00123842, how to do it?",change_order,order_id,00123842,37,45,ORDER,BCIL
I need help to swap some items of purchase 370795561790,change_order,order_id,370795561790,43,55,ORDER,BLM
want assistance deleting  some items from order 370795561790,change_order,order_id,370795561790,48,60,ORDER,BLMQZ
help switching something of purchase 370795561790,change_order,order_id,370795561790,37,49,ORDER,BL
i cant remove several items from purchase 00004587345,change_order,order_id,00004587345,42,53,ORDER,BLMNQ
correcting order 732201349959,change_order,order_id,732201349959,17,29,ORDER,BL
I don't know what to do to swap an item of order 00123842,change_order,order_id,00123842,49,57,ORDER,BL
"I want to edit purchase 00123842, could you help me?",change_order,order_id,00123842,24,32,ORDER,BCILP
add something to order 370795561790,change_order,order_id,370795561790,23,35,ORDER,BK
updating order 732201349959,change_order,order_id,732201349959,15,27,ORDER,BL
add some items to order 732201349959,change_order,order_id,732201349959,24,36,ORDER,BM
I cannot add an articld to order 370795561790,change_order,order_id,370795561790,33,45,ORDER,BELNZ
I have problems with editing order 732201349959,change_order,order_id,732201349959,35,47,ORDER,BLM
add something to order 00123842,change_order,order_id,00123842,23,31,ORDER,BK
could you help me change something of order 370795561790?,change_order,order_id,370795561790,44,56,ORDER,BIP
how to delete something from order 00004587345?,change_order,order_id,00004587345,35,46,ORDER,BIL
how to edit order 370795561790,change_order,order_id,370795561790,18,30,ORDER,BILQ
help me remove a product from purchase 113542617735902,change_order,order_id,113542617735902,39,54,ORDER,BL
updating purchase 00123842,change_order,order_id,00123842,18,26,ORDER,BL
need to add several products to order 370795561790,change_order,order_id,370795561790,38,50,ORDER,BLMQ
help to add an article to order 732201349959,change_order,order_id,732201349959,32,44,ORDER,BL
assistance with changing order 370795561790,change_order,order_id,370795561790,31,43,ORDER,B
editing order 00123842,change_order,order_id,00123842,14,22,ORDER,BL
what do i have to do to change a item of order 370795561790,change_order,order_id,370795561790,47,59,ORDER,BIQZ
need help to switch an article of purchase 370795561790,change_order,order_id,370795561790,43,55,ORDER,BLQ
need to update purchase 00004587345,change_order,order_id,00004587345,24,35,ORDER,BLQ
wanna change an article of purchase 00004587345,change_order,order_id,00004587345,36,47,ORDER,BLQ
how can i edt order 370795561790,change_order,order_id,370795561790,20,32,ORDER,BILQZ
correct purchase 113542617735902,change_order,order_id,113542617735902,17,32,ORDER,BKL
I have to switch a product of order 732201349959,change_order,order_id,732201349959,36,48,ORDER,BL
add item to order 00123842,change_order,order_id,00123842,18,26,ORDER,BK
want assistance swapping a article of order 00004587345,change_order,order_id,00004587345,44,55,ORDER,BLQZ
remove something from order 00123842,change_order,order_id,00123842,28,36,ORDER,BK
add something to order 732201349959,change_order,order_id,732201349959,23,35,ORDER,BK
assistance to switch something of purchase 113542617735902,change_order,order_id,113542617735902,43,58,ORDER,BL
I do not know how I can swap something of purchase 00123842,change_order,order_id,00123842,51,59,ORDER,BEL
assistance to swap an item of order 113542617735902,change_order,order_id,113542617735902,36,51,ORDER,BL
I need to add an article to order 370795561790,change_order,order_id,370795561790,34,46,ORDER,BL
need help with adding something to order 113542617735902,change_order,order_id,113542617735902,41,56,ORDER,BQ
is it possible to switch some items of order 732201349959?,change_order,order_id,732201349959,45,57,ORDER,BILM
help me deleting some products from order 113542617735902,change_order,order_id,113542617735902,42,57,ORDER,BLM
I want assistance to delete something from purchase 00123842,change_order,order_id,00123842,52,60,ORDER,BL
i have to correct purchase 370795561790,change_order,order_id,370795561790,27,39,ORDER,BLQ
help me to switch some items of order 370795561790,change_order,order_id,370795561790,38,50,ORDER,BLM
i missed a product ij order 732201349959 how can i add it,change_order,order_id,732201349959,28,40,ORDER,BCILQZ
I need information about editing order 370795561790,change_order,order_id,370795561790,39,51,ORDER,BL
is it possible to remove a product from order 732201349959?,change_order,order_id,732201349959,46,58,ORDER,BIL
want help switching several products of order 370795561790,change_order,order_id,370795561790,46,58,ORDER,BLMQ
problem with switching something of order 732201349959,change_order,order_id,732201349959,42,54,ORDER,BL
need help removing a product from order 00004587345,change_order,order_id,00004587345,40,51,ORDER,BLQ
I want help to add an item to purchase 732201349959,change_order,order_id,732201349959,39,51,ORDER,BL
can you help me updating order 113542617735902?,change_order,order_id,113542617735902,31,46,ORDER,BIL
I try to change something of purchase 370795561790,change_order,order_id,370795561790,38,50,ORDER,BL
can i delete something from order  370795561790,change_order,order_id,370795561790,35,47,ORDER,BILQZ
how to change an article of order 00123842?,change_order,order_id,00123842,34,42,ORDER,BIL
need help removing some articles frfom order 113542617735902,change_order,order_id,113542617735902,45,60,ORDER,BLMQZ
i want assistance to switc some products of order 00123842,change_order,order_id,00123842,50,58,ORDER,BLMQZ
i have made a mistake hopw could i correct purchase 00123842,change_order,order_id,00123842,52,60,ORDER,BCILPQZ
how can I delete a product from order 00004587345?,change_order,order_id,00004587345,38,49,ORDER,BIL
help me edit order 00004587345,change_order,order_id,00004587345,19,30,ORDER,BL
help updating order 00123842,change_order,order_id,00123842,20,28,ORDER,BL
could I change order 732201349959?,change_order,order_id,732201349959,21,33,ORDER,BIP
problems with adding some articles to purchase 370795561790,change_order,order_id,370795561790,47,59,ORDER,BLM
can i swap something off purchase 732201349959,change_order,order_id,732201349959,34,46,ORDER,BILQZ
add item to order 113542617735902,change_order,order_id,113542617735902,18,33,ORDER,BK
I want to swap several products of order 00004587345,change_order,order_id,00004587345,41,52,ORDER,BLM
I want help updating purchase 00004587345,change_order,order_id,00004587345,30,41,ORDER,BL
change order 370795561790,change_order,order_id,370795561790,13,25,ORDER,BK
correct order 113542617735902,change_order,order_id,113542617735902,14,29,ORDER,BKL
modify order 732201349959,change_order,order_id,732201349959,13,25,ORDER,BL
I have a questioin about changing purchase 732201349959,change_order,order_id,732201349959,43,55,ORDER,BLZ
I need to swap a bloody ptoduct of purchase 370795561790,change_order,order_id,370795561790,44,56,ORDER,BLWZ
I can't switch a bloody item of order 113542617735902,change_order,order_id,113542617735902,38,53,ORDER,BLNW
i need help changing a damn product of order 00123842,change_order,order_id,00123842,45,53,ORDER,BLQW
wanna edit purchase 370795561790,change_order,order_id,370795561790,20,32,ORDER,BLQ
how to change a product of order 00004587345?,change_order,order_id,00004587345,33,44,ORDER,BIL
can iswap an article of order 00004587345,change_order,order_id,00004587345,30,41,ORDER,BILQZ
assistance swapping a product of order 370795561790,change_order,order_id,370795561790,39,51,ORDER,BL
delete something from purchase 370795561790,change_order,order_id,370795561790,31,43,ORDER,BL
remove something from order 732201349959,change_order,order_id,732201349959,28,40,ORDER,BK
is it possible to switch some articles of order 00123842?,change_order,order_id,00123842,48,56,ORDER,BILM
